Purine metabolism	Metabolic pathways	Nucleotide metabolism	
Lysine biosynthesis	Metabolic pathways	Microbial metabolism in diverse environments	Biosynthesis of amino acids	
Glycine, serine and threonine metabolism	Metabolic pathways	Biosynthesis of secondary metabolites	Microbial metabolism in diverse environments	Biosynthesis of amino acids	
Cysteine and methionine metabolism	Sulfur metabolism	Metabolic pathways	Biosynthesis of secondary metabolites	Biosynthesis of amino acids	
Phenylalanine, tyrosine and tryptophan biosynthesis	Metabolic pathways	Biosynthesis of secondary metabolites	Biosynthesis of amino acids	
Purine metabolism	Metabolic pathways	Nucleotide metabolism	
Pyrimidine metabolism	Metabolic pathways	Nucleotide metabolism	
Purine metabolism	Metabolic pathways	Nucleotide metabolism	

Phenylalanine, tyrosine and tryptophan biosynthesis	Metabolic pathways	Biosynthesis of secondary metabolites	Biosynthesis of amino acids	
Starch and sucrose metabolism	Streptomycin biosynthesis	Metabolic pathways	Biosynthesis of secondary metabolites	

Cysteine and methionine metabolism	Metabolic pathways	Biosynthesis of amino acids	
Pyruvate metabolism	Glyoxylate and dicarboxylate metabolism	Metabolic pathways	Biosynthesis of secondary metabolites	Microbial metabolism in diverse environments	Carbon metabolism	


Glycerophospholipid metabolism	Biosynthesis of secondary metabolites	
Purine metabolism	Metabolic pathways	Nucleotide metabolism	
Pentose and glucuronate interconversions	Galactose metabolism	Starch and sucrose metabolism	Amino sugar and nucleotide sugar metabolism	O-Antigen nucleotide sugar biosynthesis	Glycerolipid metabolism	Metabolic pathways	Biosynthesis of secondary metabolites	Biosynthesis of cofactors	Biosynthesis of nucleotide sugars	

Lipopolysaccharide biosynthesis	Metabolic pathways	


Peptidoglycan biosynthesis	Metabolic pathways	
D-Amino acid metabolism	Peptidoglycan biosynthesis	Metabolic pathways	
Pyrimidine metabolism	Metabolic pathways	Nucleotide metabolism	
Arginine and proline metabolism	Metabolic pathways	Biosynthesis of secondary metabolites	Biosynthesis of amino acids	
Riboflavin metabolism	Metabolic pathways	Biosynthesis of secondary metabolites	Biosynthesis of cofactors	
Arginine and proline metabolism	Carbapenem biosynthesis	Metabolic pathways	Biosynthesis of secondary metabolites	Biosynthesis of amino acids	
beta-Alanine metabolism	Pantothenate and CoA biosynthesis	Metabolic pathways	Biosynthesis of secondary metabolites	Biosynthesis of cofactors	

Biotin metabolism	Metabolic pathways	Biosynthesis of cofactors	
Lipopolysaccharide biosynthesis	Metabolic pathways	
Lipopolysaccharide biosynthesis	Metabolic pathways	
Histidine metabolism	Metabolic pathways	Biosynthesis of secondary metabolites	Biosynthesis of amino acids	
Biosynthesis of amino acids	


Purine metabolism	Metabolic pathways	Biosynthesis of secondary metabolites	

Histidine metabolism	Metabolic pathways	Biosynthesis of secondary metabolites	Biosynthesis of amino acids	

Histidine metabolism	Metabolic pathways	Biosynthesis of secondary metabolites	Biosynthesis of amino acids	
Histidine metabolism	Metabolic pathways	Biosynthesis of secondary metabolites	Biosynthesis of amino acids	
Purine metabolism	Alanine, aspartate and glutamate metabolism	Metabolic pathways	Biosynthesis of secondary metabolites	
Cysteine and methionine metabolism	Sulfur metabolism	Biosynthesis of various antibiotics	Metabolic pathways	Biosynthesis of secondary metabolites	Microbial metabolism in diverse environments	Carbon metabolism	Biosynthesis of amino acids	
Cysteine and methionine metabolism	Sulfur metabolism	Metabolic pathways	Biosynthesis of secondary metabolites	Microbial metabolism in diverse environments	Carbon metabolism	Biosynthesis of amino acids	
Nicotinate and nicotinamide metabolism	Metabolic pathways	Biosynthesis of cofactors	

Sulfur metabolism	Metabolic pathways	Microbial metabolism in diverse environments	
Glycine, serine and threonine metabolism	Monobactam biosynthesis	Cysteine and methionine metabolism	Lysine biosynthesis	Metabolic pathways	Biosynthesis of secondary metabolites	Microbial metabolism in diverse environments	2-Oxocarboxylic acid metabolism	Biosynthesis of amino acids	
Glycine, serine and threonine metabolism	Cysteine and methionine metabolism	Lysine biosynthesis	Metabolic pathways	Biosynthesis of secondary metabolites	Microbial metabolism in diverse environments	2-Oxocarboxylic acid metabolism	Biosynthesis of amino acids	
Lysine biosynthesis	D-Amino acid metabolism	Metabolic pathways	Biosynthesis of secondary metabolites	Microbial metabolism in diverse environments	Biosynthesis of amino acids	
Arginine biosynthesis	Metabolic pathways	Biosynthesis of secondary metabolites	Biosynthesis of amino acids	
Purine metabolism	One carbon pool by folate	Metabolic pathways	Biosynthesis of secondary metabolites	
Phenylalanine metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis	Tropane, piperidine and pyridine alkaloid biosynthesis	Metabolic pathways	Biosynthesis of secondary metabolites	2-Oxocarboxylic acid metabolism	Biosynthesis of amino acids	
Phenylalanine, tyrosine and tryptophan biosynthesis	Novobiocin biosynthesis	Metabolic pathways	Biosynthesis of secondary metabolites	Biosynthesis of amino acids	
Cysteine and methionine metabolism	One carbon pool by folate	Biosynthesis of various plant secondary metabolites	Metabolic pathways	Biosynthesis of secondary metabolites	Biosynthesis of amino acids	Biosynthesis of cofactors	
Histidine metabolism	Metabolic pathways	Biosynthesis of secondary metabolites	Biosynthesis of amino acids	
Thiamine metabolism	Metabolic pathways	Biosynthesis of cofactors	
Propanoate metabolism	Metabolic pathways	Carbon metabolism	

Pentose phosphate pathway	Glycine, serine and threonine metabolism	Glycerolipid metabolism	Glyoxylate and dicarboxylate metabolism	Methane metabolism	Metabolic pathways	Biosynthesis of secondary metabolites	Microbial metabolism in diverse environments	Carbon metabolism	
Arginine biosynthesis	Metabolic pathways	Biosynthesis of secondary metabolites	2-Oxocarboxylic acid metabolism	Biosynthesis of amino acids	

Porphyrin metabolism	Metabolic pathways	Biosynthesis of secondary metabolites	Microbial metabolism in diverse environments	Biosynthesis of cofactors	
Sulfur metabolism	Metabolic pathways	Microbial metabolism in diverse environments	
Arginine biosynthesis	Purine metabolism	Metabolic pathways	Biosynthesis of secondary metabolites	Microbial metabolism in diverse environments	Carbon metabolism	
Pantothenate and CoA biosynthesis	Metabolic pathways	Biosynthesis of cofactors	
Purine metabolism	Metabolic pathways	Biosynthesis of secondary metabolites	

Nicotinate and nicotinamide metabolism	Metabolic pathways	Biosynthesis of cofactors	
Glycerophospholipid metabolism	Metabolic pathways	
Glycine, serine and threonine metabolism	Cysteine and methionine metabolism	Methane metabolism	Metabolic pathways	Biosynthesis of secondary metabolites	Microbial metabolism in diverse environments	Carbon metabolism	Biosynthesis of amino acids	

Glycolysis / Gluconeogenesis	Carbon fixation by Calvin cycle	Metabolic pathways	Biosynthesis of secondary metabolites	Microbial metabolism in diverse environments	Carbon metabolism	Biosynthesis of amino acids	
Propanoate metabolism	Metabolic pathways	Carbon metabolism	
Starch and sucrose metabolism	Streptomycin biosynthesis	Neomycin, kanamycin and gentamicin biosynthesis	Metabolic pathways	Biosynthesis of secondary metabolites	
Pentose phosphate pathway	Glutathione metabolism	Metabolic pathways	Biosynthesis of secondary metabolites	Microbial metabolism in diverse environments	Carbon metabolism	

Pentose phosphate pathway	Metabolic pathways	


Pyruvate metabolism	Carbon fixation by Calvin cycle	Metabolic pathways	Microbial metabolism in diverse environments	Carbon metabolism	
Arginine biosynthesis	Alanine, aspartate and glutamate metabolism	Metabolic pathways	Biosynthesis of secondary metabolites	Biosynthesis of amino acids	
Arginine biosynthesis	Pyrimidine metabolism	Alanine, aspartate and glutamate metabolism	Metabolic pathways	Biosynthesis of secondary metabolites	Biosynthesis of cofactors	
Arginine and proline metabolism	Carbapenem biosynthesis	Metabolic pathways	Biosynthesis of secondary metabolites	Biosynthesis of amino acids	
Valine, leucine and isoleucine biosynthesis	Pyruvate metabolism	Metabolic pathways	Biosynthesis of secondary metabolites	2-Oxocarboxylic acid metabolism	Biosynthesis of amino acids	

Pantothenate and CoA biosynthesis	Metabolic pathways	Biosynthesis of secondary metabolites	Biosynthesis of cofactors	


Cysteine and methionine metabolism	Metabolic pathways	Biosynthesis of amino acids	
Purine metabolism	Metabolic pathways	Nucleotide metabolism	
One carbon pool by folate	Other carbon fixation pathways	Metabolic pathways	Microbial metabolism in diverse environments	Carbon metabolism	Biosynthesis of cofactors	

Ubiquinone and other terpenoid-quinone biosynthesis	Metabolic pathways	Biosynthesis of secondary metabolites	Biosynthesis of cofactors	
Carbon fixation by Calvin cycle	Metabolic pathways	Microbial metabolism in diverse environments	Carbon metabolism	

Fatty acid elongation	Fatty acid degradation	Metabolic pathways	Fatty acid metabolism	
Glycine, serine and threonine metabolism	Methane metabolism	Metabolic pathways	Biosynthesis of secondary metabolites	Microbial metabolism in diverse environments	Carbon metabolism	Biosynthesis of amino acids	

Alanine, aspartate and glutamate metabolism	Butanoate metabolism	Metabolic pathways	Microbial metabolism in diverse environments	
Fatty acid elongation	Fatty acid degradation	Metabolic pathways	Fatty acid metabolism	
Purine metabolism	Sulfur metabolism	Metabolic pathways	Microbial metabolism in diverse environments	

Fatty acid elongation	Fatty acid degradation	Metabolic pathways	Fatty acid metabolism	
Glycine, serine and threonine metabolism	Cysteine and methionine metabolism	Lysine biosynthesis	Metabolic pathways	Biosynthesis of secondary metabolites	Microbial metabolism in diverse environments	Biosynthesis of amino acids	
Cysteine and methionine metabolism	Metabolic pathways	Biosynthesis of secondary metabolites	Biosynthesis of amino acids	
Cysteine and methionine metabolism	Metabolic pathways	Biosynthesis of secondary metabolites	Biosynthesis of amino acids	
Alanine, aspartate and glutamate metabolism	Tyrosine metabolism	Butanoate metabolism	Nicotinate and nicotinamide metabolism	Metabolic pathways	Microbial metabolism in diverse environments	














Biosynthesis of cofactors	

Pentose phosphate pathway	Metabolic pathways	







Pyrimidine metabolism	Metabolic pathways	Nucleotide metabolism	


Pyrimidine metabolism	Metabolic pathways	Nucleotide metabolism	




Purine metabolism	Metabolic pathways	Nucleotide metabolism	
Fatty acid degradation	Lysine degradation	Tryptophan metabolism	Butanoate metabolism	Other carbon fixation pathways	Metabolic pathways	Biosynthesis of secondary metabolites	Microbial metabolism in diverse environments	Carbon metabolism	Fatty acid metabolism	



Fatty acid elongation	Fatty acid degradation	Metabolic pathways	Fatty acid metabolism	

Fatty acid elongation	Fatty acid degradation	Metabolic pathways	Fatty acid metabolism	
Folate biosynthesis	Metabolic pathways	Biosynthesis of cofactors	










Cysteine and methionine metabolism	One carbon pool by folate	Metabolic pathways	Biosynthesis of secondary metabolites	Biosynthesis of amino acids	

Nicotinate and nicotinamide metabolism	Metabolic pathways	Biosynthesis of cofactors	

Pyruvate metabolism	Metabolic pathways	Microbial metabolism in diverse environments	

Purine metabolism	Metabolic pathways	Biosynthesis of secondary metabolites	

Glyoxylate and dicarboxylate metabolism	Metabolic pathways	
Folate biosynthesis	Metabolic pathways	Biosynthesis of cofactors	
One carbon pool by folate	Other carbon fixation pathways	Metabolic pathways	Microbial metabolism in diverse environments	Carbon metabolism	Biosynthesis of cofactors	
One carbon pool by folate	Other carbon fixation pathways	Metabolic pathways	Microbial metabolism in diverse environments	Carbon metabolism	Biosynthesis of cofactors	
Nicotinate and nicotinamide metabolism	Metabolic pathways	Biosynthesis of cofactors	




Fatty acid elongation	Fatty acid degradation	Metabolic pathways	Fatty acid metabolism	





Porphyrin metabolism	








Pentose phosphate pathway	Metabolic pathways	

Fatty acid elongation	Biosynthesis of unsaturated fatty acids	Metabolic pathways	Fatty acid metabolism	













Folate biosynthesis	Metabolic pathways	Biosynthesis of cofactors	













